run_id,phase,task_id,asr_id,round,spoken_variant,audio_condition,critical_slot_preserved,route_sequence,retry_triggered,retry_count,script_error_observed,script_error_count,pptx_produced,edit_signal,deterministic_rule_pass,visual_status,embedded_images,max_overlap_ratio,left_right_margin_diff_ratio,gap_diff_ratio,visual_note,output_filename,source_log
first_round:id5:ASR-2:r1:clean:none,first_round,id5,ASR-2,1,clean,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_clean.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:clean:noise,first_round,id5,ASR-2,1,clean,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_clean_noise.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:clean:reverb,first_round,id5,ASR-2,1,clean,reverb,,PYTHON-PPTX,true,1,true,1,true,true,true,,,,,,,slide_5_r1_ASR-2_clean_reverb.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:clean:bandlimit,first_round,id5,ASR-2,1,clean,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_clean_bandlimit.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:spoken:none,first_round,id5,ASR-2,1,spoken,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_spoken.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:spoken:noise,first_round,id5,ASR-2,1,spoken,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_spoken_noise.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:spoken:reverb,first_round,id5,ASR-2,1,spoken,reverb,,PYTHON-PPTX,true,1,true,1,true,true,true,,,,,,,slide_5_r1_ASR-2_spoken_reverb.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:spoken:bandlimit,first_round,id5,ASR-2,1,spoken,bandlimit,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_spoken_bandlimit.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:connected:none,first_round,id5,ASR-2,1,connected,none,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_connected.pptx,asr2_r1_id5.txt
first_round:id5:ASR-2:r1:connected:noise,first_round,id5,ASR-2,1,connected,noise,,PYTHON-PPTX,false,0,false,0,true,true,true,,,,,,,slide_5_r1_ASR-2_connected_noise.pptx,asr2_r1_id5.txt
